"gene","logFC_cellbender","FDR_cellbender","logFC_cellranger","FDR_cellranger","concordant_DE"
"PROCA1",-0.330494875025653,0.0645282838593432,-0.328483807669708,0.100421064305478,FALSE
"LAMC1",-0.0934568979185595,0.0645326810384024,-0.166800246279097,0.0506973783233333,FALSE
"NSD1",0.0740705642216679,0.0646852024931192,0.104804341920374,0.0759127767838843,FALSE
"DUS4L",0.414454792519097,0.0647321048703161,0.355880661939575,0.0881424607959213,FALSE
"DMGDH",0.203173644790989,0.0647413104110783,0.329071818320281,0.00692548491488643,FALSE
"RHOBTB3",-0.142202152707988,0.0647413104110783,-0.23735202754311,0.079342689829353,FALSE
"ARHGEF33",0.372280621076914,0.0648188050552801,0.418715658438585,0.0410296981029253,FALSE
"GORASP2",-0.248380207640693,0.0648473665507032,-0.238647850543415,0.143900236150445,FALSE
"CASC19",-0.272313507128658,0.0648579209767034,-0.269480051148828,0.0668556701519353,FALSE
"AHR",0.23182101927755,0.0648758490887292,-0.00727942763220238,0.968209430941815,FALSE
"MDM1",0.215963487114187,0.0648946254422704,0.287187255544414,0.022726437833874,FALSE
"MIDN",-1.06826953766171,0.0649033392432807,-0.459913255179099,0.00310415780476423,FALSE
"MTR",0.0990162731242628,0.0650391716739092,0.0788264549190082,0.214214442382567,FALSE
"SLC35F5",0.0990883629751533,0.065048847607688,0.113627543634655,0.077693169610965,FALSE
"PYGB",0.432502968161961,0.065130726410098,-0.0766388244599775,0.462993254162278,FALSE
"PTER",0.194139150419936,0.0651805480813513,0.184304317226651,0.10522524898645,FALSE
"CDC42BPB",-0.0843021530448538,0.0651994756565181,-0.108333165226391,0.0680901138556401,FALSE
"POLR2G",-0.466289373796455,0.0652249586067441,-0.158278561939709,0.458231445718339,FALSE
"AC068286.2",-0.375340945694159,0.0652690811646855,-0.514068605793428,0.029386535610564,FALSE
"PIK3CD",0.458383894745148,0.0652751326730809,-0.0690289391666486,0.744197675187783,FALSE
"ITGAV",-0.41097981979587,0.0652765768885547,-0.393855807828769,0.00819384359349412,FALSE
"ZNF84",0.155002131686665,0.065433961395804,0.171583098037107,0.0816647412100643,FALSE
"CNDP2",-0.426509962267456,0.065433961395804,-0.348089067054379,0.0125408231781328,FALSE
"LRP5L",-0.219078172524839,0.0654490048721942,-0.183708830487411,0.161581598657425,FALSE
"PHF21B",0.356072030804272,0.0654802055520631,0.462956961126107,0.0182450142331679,FALSE
"SCML2",0.297882568924898,0.0655771310789508,0.350756932840485,0.0518597051759818,FALSE
"FYN",-0.137647402255476,0.0656544384536385,-0.158838655810288,0.200417239800039,FALSE
"NBAS",0.105669750384655,0.0657014168920831,0.0357120023805238,0.640867816433406,FALSE
"EEF1E1",-0.249053486927591,0.0657633300428716,-0.22650894231426,0.148953386717527,FALSE
"RANBP10",-0.125398188203482,0.0657633300428716,-0.0998568226943875,0.222911190393564,FALSE
