"gene","logFC_cellbender","FDR_cellbender","logFC_cellranger","FDR_cellranger","concordant_DE"
"ZCWPW2",0.169296916122675,0.182381154719434,0.171618945601773,0.245347424473305,FALSE
"MFSD14B",-0.193398482154335,0.182381154719434,-0.196467886939033,0.237324181015592,FALSE
"NUMB",0.0808659962552133,0.182381154719434,0.0516401139507354,0.574644608068624,FALSE
"ZNF420",0.217518917156464,0.182381154719434,0.121294172747358,0.500019703444339,FALSE
"MUS81",-0.201761050469145,0.18247258796291,-0.212705758648082,0.234174689865454,FALSE
"PARP4",0.278810346262302,0.18247258796291,0.0378235330910282,0.837681647365253,FALSE
"RFXAP",0.303046767568557,0.182577035192079,0.252602518869641,0.245162290228089,FALSE
"SLC35D2",0.260133103949732,0.182674546442361,0.303739391272311,0.121956896163478,FALSE
"AC006115.2",0.241127379751084,0.182720181773326,0.218155954675125,0.375667828072763,FALSE
"ATP1A1-AS1",0.368364412779829,0.182862645799735,0.365310106791296,0.216595284153611,FALSE
